Materials	Properties	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19	feature20
sample15	7.5300	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7554	0.2666	0.2549	0.6395	0.4727	0.4784	0.6296	0.7952	0.4890	0.8632	0.5005
sample16	6.1400	0.0000	0.0000	0.2500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3741	0.0919	0.2325	0.3605	0.2420	0.3148	0.5030	0.8432	0.6434	0.8848	0.6486
sample17	6.9700	0.0000	0.0000	0.7500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4460	0.0695	0.1691	0.3605	0.3713	0.3148	0.4825	0.8784	0.6893	0.9418	0.4125
sample18	3.6000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.7770	0.1336	0.4911	0.3605	0.3966	0.6142	0.7477	0.8193	0.4709	0.8747	0.2019
sample19	4.0600	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.3741	0.0580	0.2178	0.4070	0.2344	0.2778	0.5614	0.8617	0.6160	0.8606	0.6407
sample20	4.8100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.4820	0.0738	0.2146	0.6395	0.2217	0.2160	0.5241	0.8190	0.5871	0.8863	0.5900
sample21	10.0200	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.1584	0.0180	0.7326	0.3738	0.0309	0.7914	0.1619	0.0598	0.3723	0.4913
sample22	23.0500	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9856	0.0689	0.2489	0.7326	0.4892	0.5309	0.8391	0.0463	0.4072	0.3740	0.5573
sample23	29.7700	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9856	0.1040	0.2464	0.7326	0.4245	0.2160	0.7324	0.0000	0.3184	0.4410	0.7536
sample24	33.6600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7842	0.0617	0.1566	1.0000	0.3332	0.2315	0.6261	0.2647	0.0374	0.0000	0.2591
sample25	22.1800	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9640	0.0961	0.2027	0.7326	0.4283	0.2315	0.6937	0.5504	0.4026	0.6227	0.5640
sample26	17.9900	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.8993	0.1886	0.1339	0.7326	0.5234	0.2315	0.6782	0.8906	0.5847	0.9335	0.6671
sample27	5.6500	0.0000	0.0000	0.0000	0.2500	0.0000	0.0000	0.0000	0.0000	0.0000	0.3957	0.1119	0.5163	0.3372	0.3840	1.0000	0.5575	0.8761	0.5982	0.9120	0.4304
sample28	24.5500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9353	0.4377	0.0945	0.7326	0.4752	0.2685	0.6864	0.7992	0.4404	0.8579	0.6862
sample29	1.0400	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4964	0.0846	0.3589	0.7326	0.2280	0.5000	0.4563	0.4288	0.8688	0.1743	0.0000
sample30	7.9800	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.3741	0.1028	0.2511	0.4070	0.2787	0.2901	0.6748	0.8460	0.3535	0.8493	0.4304
sample31	0.4200	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.7194	0.1022	0.2721	0.0000	0.3561	0.6111	1.0000	0.8623	0.0000	0.9122	0.4783
sample32	38.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.8129	0.0169	0.2540	0.7326	0.3738	0.3796	0.6692	0.1494	0.1015	0.0135	0.7114
sample33	23.4700	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6259	0.1215	0.2758	1.0000	0.2825	0.2778	0.5852	0.3112	0.1204	0.1621	0.3572
sample34	15.7600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6259	0.1711	0.3252	0.7326	0.3269	0.4599	0.6086	0.4400	0.5172	0.6145	0.3650
sample35	15.4600	0.0000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4892	0.1155	0.2256	1.0000	0.2280	0.2284	0.5661	0.6464	0.3045	0.7270	0.5488
sample36	22.1300	0.0000	0.0000	0.0000	0.2500	0.0000	0.0000	0.0000	0.0000	0.0000	0.8633	0.0786	0.3127	0.7326	0.5830	0.7099	0.6859	0.3856	0.4361	0.7858	0.4998
