Materials	Properties	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19	feature20
sample22	29.7700	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9667	0.2515	0.7326	0.3001	0.2160	0.7023	0.0000	0.3540	0.3423	0.7536
sample23	26.3800	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0060	1.0000	0.2385	0.0185	0.7563	0.3906	0.0000	0.5205	0.3840
sample24	22.1800	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9417	0.2070	0.7326	0.3048	0.2315	0.6593	0.5685	0.4448	0.5561	0.5640
sample25	17.9900	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.8667	0.1367	0.7326	0.4204	0.2315	0.6419	0.9199	0.6414	0.9217	0.6671
sample26	12.6200	0.0000	0.0000	0.0000	0.0000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9250	0.0232	0.7326	0.2616	0.0340	0.6217	0.3572	0.2532	0.5981	0.7343
sample27	5.6500	0.0000	0.0000	0.0000	0.2500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2833	0.5270	0.3372	0.2508	1.0000	0.5077	0.9049	0.6560	0.8965	0.4305
sample28	24.5500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9083	0.0965	0.7326	0.3618	0.2685	0.6511	0.8255	0.4856	0.8328	0.6862
sample29	1.0400	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4000	0.3664	0.7326	0.0612	0.5000	0.3951	0.4429	0.9479	0.0286	0.0000
sample30	7.9800	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.2583	0.2563	0.4070	0.1229	0.2901	0.6382	0.8738	0.3919	0.8227	0.4304
sample31	0.4200	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.6583	0.2778	0.0000	0.2169	0.6111	1.0000	0.8906	0.0104	0.8967	0.4783
sample32	23.4700	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5500	0.2815	1.0000	0.1275	0.2778	0.5386	0.3214	0.1404	0.0142	0.3572
sample33	15.7600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5500	0.3320	0.7326	0.1814	0.4599	0.5645	0.4545	0.5685	0.5464	0.3650
sample34	26.1300	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7333	0.0932	0.7326	0.2431	0.3889	0.6129	0.4672	0.6647	0.5720	0.4341
sample35	15.4600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3917	0.2303	1.0000	0.0612	0.2284	0.5172	0.6677	0.3390	0.6789	0.5488
sample36	22.1300	0.0000	0.0000	0.0000	0.2500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.8250	0.3192	0.7326	0.4928	0.7099	0.6506	0.3983	0.4810	0.7480	0.4998
