,IUPAC Name,Formula,Common Name,CAS No.,Str(cal/mol/K),Htr(kcal/mol),T_tr,T_m,H,CH3,C2H5,CH2OH,CHFOH,CHClOH,COOH,NH2,CH2NH2,NO2,F,Cl,Br,I,CH2F,CH2Cl,CH2Br,SH,OH,CH(CH3)OH,CH2I,CHO,CH2SH,CONH2,CH(CH3)NH2,C4H9,CO(CH3),COCl,Symmetry,distavg,diststdev,AngAvg,ANGSDEV,Center of Mass,avgdon,avgacc,stdevdon,stdevacc,sumdon,sumacc,Maxdon,Maxacc,moleculetotal,Ravg,Rstdev,Svib(J/mol/K),Volume(bohr**3/mol),Interaction Energy(kJ/mol),E_elec(kJ/mol),E_pauli(kJ/mol),E_dispersion(kJ/mol),E_polarization(kJ/mol),E_CT(kJ/mol),T_m,sphericity,Year
20,"2,2-dichloropropane",C(CH3)2Cl2,,594-20-7,31.87,5.98,187.585,239.6,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,1.68,0.14,109.47,1.03,0.41955200000000004,0.25,1.55,0.25,1.55,1.0,6.2,0.5,3.1,112.9858,25.2,11.8,10.5,854.39,-27.31,-22.95,29.5,-12.62,-0.85,-6.72,239.6,0.4586264330426917,1999.0
21,"1,1,1 Trichloroethane",C(CH3)Cl3,methylchloroform,71-55-6,31.2,6.97,223.42,240.15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,1.71,0.22,109.47,1.15,0.32393299999999997,0.125,2.325,0.216506,1.342339,0.5,9.3,0.5,3.1,133.4044,30.3,10.2,9.66,831.93,-22.24,-16.16,22.53,-11.81,-0.52,-2.59,240.15,0.42955299712171735,2019.0
22,"1-chloro-2,2-dimethylpropane",C(CH3)3(CH2Cl),neopentylchloride,753-89-9,25.51,4.39,172.15,246.65,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,1.85,0.63,109.46,1.46,0.8963959999999999,0.7,0.775,0.34641,1.342339,2.8,3.1,1.3,3.1,106.59,23.6,17.2,16.67,988.65,-33.24,-28.55,37.16,-17.86,-1.24,-7.19,246.65,0.38148808155040914,2006.0
23,"1,3-Dichloro-2,2-dimethylpropane",C(CH3)2(CH2Cl)2,,29559-55-5,17.9,3.6,198.4,253.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,2.17,0.72,109.45,2.21,0.94065,0.9,1.55,0.4,1.55,3.6,6.2,1.3,3.1,141.04,32.3,19.9,20.47,1138.18,-31.71,-27.33,35.36,-17.47,-1.18,-7.25,253.0,0.22509035601787453,1999.0
24,"1,3-Dichloro-2-(chloromethyl)-2-methylpropane",C(CH3)(CH2Cl)3,"1,1,1-Tris(chloromethyl)ethane",1067-09-0,30.07,7.35,244.35,288.64,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,2.49,0.63,109.46,2.37,0.518145,1.1,2.325,0.34641,1.342339,4.4,9.3,1.3,3.1,175.48,40.9,17.2,25.78,1250.74,-32.6,-28.98,38.16,-18.68,-1.28,-7.19,288.64,0.21578593455563855,1996.0
25,2-Methyl-2-propanethiol,C(CH3)3SH,trimethanethiol,75-66-1,26.81,4.06,151.6,274.4,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,1.61,0.15,109.46,0.96,0.41720100000000004,0.875,0.875,0.649519,1.515544,3.5,3.5,2.0,3.5,90.19,19.5,9.0,13.71,923.03,-24.92,-32.32,40.34,-13.71,-1.5,-8.23,274.4,0.6511545228518376,2019.0
26,"2,2-dimethylpropanal",C(CH3)3(COH),Trimethylacetaldehyde,630-19-3,26.22,4.81,183.9,272.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,1.76,0.45,109.47,1.22,0.41115,0.6,1.375,0.173205,2.38157,2.4,5.5,0.9,5.5,86.13,18.5,7.0,16.41,879.97,-31.76,-38.88,45.94,-14.46,-3.51,-6.45,272.0,0.6019187745990802,1988.0
27,"1,1,1-tris(hydroxymethyl) propane",C(C2H5)(CH2OH)3,Trimethylolpropane,77-99-6,36.82,10.02,272.0,333.4,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,2.48,0.08,109.48,2.62,0.034441,3.2,4.725,1.558846,2.72798,12.8,18.9,4.1,6.3,134.17,30.5,1.0,28.67,1188.61,-137.07,-241.9,240.01,-28.12,-25.34,-42.15,333.4,0.5061190485673479,1982.0
28,"1-Fluoro-2,2-bis(hydroxymethyl)-1,3-propanediol",C(CH2OH)3(CHFOH),monofluoropentaerythritol,36043-13-7,56.46,19.25,341.0,478.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,2.46,0.01,109.48,1.8,0.277777,4.1,6.3,0.0,0.0,16.4,25.2,4.1,6.3,138.14,35.5,9.0,31.57,1123.29,-143.46,-229.24,239.11,-21.77,-23.94,-44.69,478.0,0.4953878798675797,1995.5
29,"1-Chloro-2,2-bis(hydroxymethyl)-1,3-propanediol",C(CH2OH)3(CHClOH),monochloropentaerythritol,36043-12-6,69.0,23.05,334.0,409.7,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,2.46,0.01,109.48,1.14,0.476704,4.1,6.3,0.0,0.0,16.4,25.2,4.1,6.3,170.59,39.6,17.2,33.37,1243.7,-155.6,-215.19,227.92,-19.12,-20.07,-42.03,409.7,0.5702036747984474,1995.5
